"ITTER107","Territorio","TIPO_DATO7","Tipo dato","SEXISTAT1","Sesso","ETA1_A","Classe di età","PROFILO_PROF","Qualifica contrattuale","ATECO_2007","Ateco 2007","CLLVT","Classe di dipendenti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","6","operaio","B","estrazione di minerali da cave e miniere","TOTAL","totale","2014","2014",14.48,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","6","operaio","B","estrazione di minerali da cave e miniere","TOTAL","totale","2015","2015",14.8,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","6","operaio","B","estrazione di minerali da cave e miniere","TOTAL","totale","2016","2016",14.8,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","6","operaio","B","estrazione di minerali da cave e miniere","TOTAL","totale","2017","2017",15.05,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W50_249","50-249","2014","2014",20.24,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W50_249","50-249","2015","2015",19.51,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W50_249","50-249","2016","2016",21.26,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W50_249","50-249","2017","2017",20.99,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W0_9","0-9","2014","2014",13.04,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W0_9","0-9","2015","2015",13.54,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W0_9","0-9","2016","2016",13.22,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W0_9","0-9","2017","2017",13.74,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W_GE250","250 e più","2014","2014",32.83,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W_GE250","250 e più","2015","2015",34.35,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W_GE250","250 e più","2016","2016",33.55,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W_GE250","250 e più","2017","2017",32.82,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2014","2014",20.38,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2015","2015",19.96,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2016","2016",20.06,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","Y30-49","30-49 anni","99","totale","B","estrazione di minerali da cave e miniere","TOTAL","totale","2017","2017",20.26,,
"IT","Italia","HOUWAG_ENTEMP_AV_MI","Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media). ","9","totale","TOTAL","totale","99","totale","B","estrazione di minerali da cave e miniere","W10_49","10-49","2014","2014",15.82,,
